title,matched_categories_ml,matched_scores_ml,source
"광주교대, 제7대 최도성 총장 퇴임식 개최",,,industry_risk
"강원대, 수소생산 기술이전 협약 체결",,,industry_risk
"강원대-㈜에이이에스텍, 수소생산 기술이전 조인식 개최",,,industry_risk
"강원대·에이이에스텍, 기술이전 조인식",,,industry_risk
"강원대-에이이에스텍, 수소생산 기술이전 협약 체결",청정 재생에너지,0.416,industry_risk
농식품·바이오기술 융합…농업 새로운 미래 연다,,,industry_risk
"경상국립대, '2023년 교수 퇴임식' 개최",,,industry_risk
경상국립대 교수 정년퇴직 기념식 개최,,,industry_risk
"상명대 천안캠 학군단, 28명 장교 임관",,,industry_risk
'사립대' 투명성 강화…'사학혁신 지원사업' 성과 뚜렷,회계의 투명성 관리,0.469,industry_risk
기준금리 인상 멈췄지만 여전히 높아… 금융 혜택 많은 단지 눈길,,,industry_risk
"[인터뷰] 노충식 경남테크노파크 원장 ""ICT와 제조업 융합 가속화"" 디지...",지역사회 ESG 파트너십,0.44,industry_risk
한자리에서 다 체험하는 성신여대 신입생 오리엔테이션,,,industry_risk
[오늘의 주요 일정] '건설노조 탄압 규탄' 민노총 결의대회,,,industry_risk
"[산업 이모저모] LG유플러스, '유심 무료 교체' 전체 고객 확대...""3월 1일...",,,industry_risk
"IT업계, 기업용 5G 인프라 경쟁 격화",,,industry_risk
[대학人] ⑦ 다양한 실험으로 인문학 확장 주도하는 김정배 교수,,,industry_risk
삼척시·강원대 '지역소멸·학령인구 감소' 해결 협력,,,industry_risk
삼척시·강원대 지방소멸 위기 해법찾기 ‘맞손’,,,industry_risk
"삼척 지방소멸 대응, ‘삼박자 의기투합’",,,industry_risk
역세권·개발호재·배후수요 3박자 갖춘 ‘힐스테이트 천안역 스카이움...,,,industry_risk
충북보건과학대 송승호 총장 명예퇴임,,,industry_risk
충북보건과학대 4대 송승호 총장 퇴임,,,industry_risk
송승호 충북보과대 총장 퇴임식,,,industry_risk
송승호 충북보건과학대 총장 퇴임식,,,industry_risk
"경북도, 세포배양산업 육성전략 발표",,,industry_risk
"경북도,일동후디스·네오크레마 등과 세포배양기술 특화 클러스터 조성...",지역사회 ESG 파트너십,0.405,industry_risk
"포항, 이차전지·바이오·수소 품고 '다시 뛴다'",청정 재생에너지,0.405,industry_risk
"경북도, 세포배양산업 선점 나선다…28개 기관 '맞손'",지역사회 ESG 파트너십,0.433,industry_risk
"경북도, 세포배양산업 선점 나서",,,industry_risk
"경북도, 미래 먹거리 '세포배양산업' 파이 키운다",지역사회 ESG 파트너십,0.426,industry_risk
'미래 먹거리' 세포배양시장을 선점하라,,,industry_risk
“그림책 매력은 느림 속에 얻는 공감과 상상력”,,,industry_risk
영어 조기 유학 국가로 떠오르는 태국,,,industry_risk
"빅톤 강승식, 단독 팬미팅 1분 만에 2회차 전석 매진",,,industry_risk
"'3월 입대' 빅톤 강승식, 첫 팬미팅 전석 매진",,,industry_risk
"빅톤 강승식, 입대 전 단독 팬미팅 개최..1분 만에 2회차 전석 매진",,,industry_risk
"강승식 전석매진, 3월 단독 팬미팅 ‘그냥, 승식’ 1분 만에 완판",,,industry_risk
"""황민현·조규성 Let's Go!""...'걘 역시 북방계' 진아진, CC 꿈은 꿀 수 ...",,,industry_risk
학군·교통·편의시설 등 인프라 잘 갖춰진 '인천의 강남' 송도 1공구,,,industry_risk
[동정]정정순삼척시의장·윤정의강원대 부총장,,,industry_risk
"빅톤 강승식, 내달 4일 첫 단독 팬미팅",,,industry_risk
"빅톤 강승식, 군입대 전 팬미팅 개최…티켓 예매는 언제?",,,industry_risk
"""주거·일자리·평생교육까지""…나주시 '청년 패키지 지원책' 주목",,,industry_risk
"'청년이 돌아오는 매력 나주'…시, 청년 지원 패키지 정책 추진",,,industry_risk
"나주시, '청년이 돌아오는 매력 나주' 위한 패키지 지원",,,industry_risk
"나주시, 청년이 돌아오는 나주 '청년패키지 사업 추진' 박차",,,industry_risk
"나주시, 주거 일자리 평생교육 '청년 패키지 사업' 주목",,,industry_risk
[오늘의 주요일정]강원(2월17일 금요일),,,industry_risk
"""보령, 지속가능성장 핵심은 만성질환 포트폴리오 강화""",ESG 위원회 조직,0.412,industry_risk
지역현안 조기 해결·총선 승리전략 정비 집중,,,industry_risk
[현장에서] 부천 시승격 50주년,,,industry_risk
"빅톤 강승식, 첫 단독 팬미팅 온라인 생중계 확정",,,industry_risk
"신사업 '절실한' 식품업계, 바이오사업 진출 잰걸음",,,industry_risk
[전국 주요 신문 톱뉴스](8일 조간),,,industry_risk
"[영상]증평군, 지역 3대 분야 산업 중점 육성계획 발표",,,industry_risk
[포항시정] 물가·민생경제 안정 위한 범시민대책회의 개최 外,,,industry_risk
삼척시-강원대 .협력기반 지역발전포럼 개최...지방소멸 위기 공동 대응,,,industry_risk
부산연구원 '부원장' 직제 신설...외연 확장,,,industry_risk
"나주시, 청년 패키지 지원 사업 추진 주목",,,industry_risk
"나주시, 청년 패키지 지원책 수립",,,industry_risk
"경상국립대, 탄소중립 실천 워크숍 개최","ESG 관련 캠페인,지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 비교과 프로그램 개발 및 운영,지역사회 ESG 파트너십","0.479,0.456,0.453,0.41,0.41",industry_risk
"경상국립대, 탄소중립 실천(ACTION!) 워크숍 개최","ESG 비교과 프로그램 개발 및 운영,ESG 관련 캠페인,ESG 위원회 조직","0.411,0.404,0.401",industry_risk
증평군 2030 지역전략산업(B‧I‧G) 육성방안 발표,,,industry_risk
삼육보건대 업사이클링 페스티벌 개최,"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 캠페인,폐기물 배출,ESG 위원회 조직","0.476,0.428,0.422,0.418,0.405",industry_risk
